address,share,chain,referralENS,referralENSAddress
0x00003183f59e825911d98fb509a157cd2abbae25,2,Arbitrum,0xhamachi.eth,0xfefb7f992b7d8199ef3232ce3799bb6880390c4b
0xfefb7f992b7d8199ef3232ce3799bb6880390c4b,2,Arbitrum,,
0x003f35595dce3187b4fff2b5a2c4303f7158208a,1,Arbitrum,thekingoflimbs.eth,0x5da2966a06e0730e5db34d9143c2a67cc13dd453
0x5da2966a06e0730e5db34d9143c2a67cc13dd453,1,Arbitrum,,
0x00f91504046cb47d24b7ac9ee6ae8f407bdca65f,1,Arbitrum,ekius.eth,0x8ca8d2cbc07edf6512cada0d2573c8f4802a1989
0x8ca8d2cbc07edf6512cada0d2573c8f4802a1989,1,Arbitrum,,
0x015555fe4bb264525a601e3952546795ef1a40c1,1,Arbitrum,nooblin.eth,0xdeb6950588eab4250a3680754e4e7965afb85dfd
0xdeb6950588eab4250a3680754e4e7965afb85dfd,1,Arbitrum,,
0x015edbdd1dede3e011a694ecf48ca933661e0213,1,Arbitrum,jordienp.eth,0xf906685bfb2806f82cc923d43a5a2b37e3ecc592
0xf906685bfb2806f82cc923d43a5a2b37e3ecc592,1,Arbitrum,,
0x019ed608dd806b80193942f2a960e7ac8abb2ee3,1,Arbitrum,flowverse.eth,0x05f472d895f66c6bfd2efad2b622554d4a409c29
0x05f472d895f66c6bfd2efad2b622554d4a409c29,1,Arbitrum,,
0x03cddb901b84f7e4d49350fedf0b764ab6fcfe73,1,Arbitrum,angrylama.eth,0xbd57cdf5e109950f2be47bdf52b7622400c23bf7
0xbd57cdf5e109950f2be47bdf52b7622400c23bf7,1,Arbitrum,,
0x047c4d7af709ae19d3bbbd5f9e10461d2554da00,1,Arbitrum,pimplenis.eth,0xb3897952ce7a4cea159d232dae8d02ca8273372e
0xb3897952ce7a4cea159d232dae8d02ca8273372e,1,Arbitrum,,
0x12a101b3c28b0d4e611061980c8645c459663bf8,1,Arbitrum,mewnbox.eth,0x0433a92b2d656b45f60d09deac2220996a3e034f
0x0433a92b2d656b45f60d09deac2220996a3e034f,1,Arbitrum,,
0x1a9a200a1cc1f701dde3c2bbbee7fc7061dc5e8c,1,Arbitrum,pedrox.eth,0x5833869fdeb4d371b854d7474f5f84b43320fd05
0x5833869fdeb4d371b854d7474f5f84b43320fd05,4,Arbitrum,,
0x1eb322c016815ee5b29c071586c1b75be5934576,1,Arbitrum,psyopsduck.eth,0x7cf6dc2db031b5c0a869738a682b51890756b24d
0x7cf6dc2db031b5c0a869738a682b51890756b24d,1,Arbitrum,,
0x1f427a6fcdb95a7393c58552093e10a932890fa8,1,Arbitrum,cavkie.eth,0x1e6a29e9c42839e982a68dd6e42d465ba99323ff
0x1e6a29e9c42839e982a68dd6e42d465ba99323ff,1,Arbitrum,,
0x20f9e5a17b00350f1eaf9ad18bc5be0d54c0bc3f,1,Arbitrum,vadessa.eth,0xce4b87301ad7c336ef2f1b822ad8bd7e86249ebc
0xce4b87301ad7c336ef2f1b822ad8bd7e86249ebc,1,Arbitrum,,
0x2612b77e5ee1b5feeddd5ec08731749bc2217f54,2,Optimism,ufhouck.eth,0x2612b77e5ee1b5feeddd5ec08731749bc2217f54
0x3238b53a910b69f5dbdb31786613ce944536ba19,1,Arbitrum,nightman.eth,0xee70a44d03ceeb205f1a0bd776d41ef4633f8950
0xee70a44d03ceeb205f1a0bd776d41ef4633f8950,1,Arbitrum,,
0x32cb4d6093b854061c63c1d3f243347a45a17e0b,2,Arbitrum,craznftape.eth,0x32cb4d6093b854061c63c1d3f243347a45a17e0b
0x35105c1a66c589ff7f2bcaff5cc51080020aa549,1,Arbitrum,s0lv3.eth,0xf9567f184de6b1fcf617850de093f78f6c78b0f6
0xf9567f184de6b1fcf617850de093f78f6c78b0f6,1,Arbitrum,,
0x3ad88d19282c9020dc305b75165eed3e8833efca,1,Optimism,ninjafungibull.eth,0xd0594d3984eb00d2730db00531f87e89a63645dd
0xd0594d3984eb00d2730db00531f87e89a63645dd,1,Optimism,,
0x3c2d6d7144241f1f1203c29c124585e55b58975e,2,Optimism,pujimak.eth,0x3c2d6d7144241f1f1203c29c124585e55b58975e
0x3c6cf50343d972db4373a3e8482c9681efbda6f6,1,Arbitrum,wzrdry.eth,0xfe2a94ecd89745f3c3099067f9738296941dbc9d
0xfe2a94ecd89745f3c3099067f9738296941dbc9d,1,Arbitrum,,
0x3ec6732676db7996c1b34e64b0503f941025cb63,2,Arbitrum,sharesome.eth,0xc4ed448e7d7bdd954e943954459017be63584f69
0xc4ed448e7d7bdd954e943954459017be63584f69,1,Arbitrum,,
0x3fd1ddf28f604cfe5fefa3adc38e38be2f7208d6,1,Arbitrum,mazzi.eth,0xbd8a92e249090249c5fb2ff71e47b69fb650d3af
0xbd8a92e249090249c5fb2ff71e47b69fb650d3af,2,Arbitrum,,
0x41d99f70fe069e8e16c00d827ff58d53ec43e12e,1,Arbitrum,pidoras.eth,0xac1b80e06f970879bfb8f2b92b59442593f332b6
0xac1b80e06f970879bfb8f2b92b59442593f332b6,1,Arbitrum,,
0x4644a9afe25b01405b9099c32fbf123f919d4838,1,Arbitrum,zappin.eth,0xa5b6b941276a5dd83193b357d423622fde95ead8
0xa5b6b941276a5dd83193b357d423622fde95ead8,1,Arbitrum,,
0x4718fc7e40092a9d5fc584699aea1aa4c6f63d33,1,Arbitrum,mazzi.eth,0xbd8a92e249090249c5fb2ff71e47b69fb650d3af
0x4864e9ba3ab4270e338d1d52a49c383294c34134,1,Arbitrum,huatar.eth,0x48888db73eb818dec38fed2c8d4d08252177de0d
0x48888db73eb818dec38fed2c8d4d08252177de0d,1,Optimism,,
0x4a0f8323a112944d54c4630e10eb77c198fa9e4c,1,Arbitrum,eth.will123.eth,0x6f419390da10911abd1e1c962b569312a9c9c7b1
0x6f419390da10911abd1e1c962b569312a9c9c7b1,1,Arbitrum,,
0x5122b4d90185958faa110a3a02b647c755b977fd,1,Arbitrum,pedrox.eth,0x5833869fdeb4d371b854d7474f5f84b43320fd05
0x58292dccdb7609540b8520b60d448fd8395740fd,1,Arbitrum,sanqtuarian.eth,0x368706b2f299635e63b513f93f329fae8f366b48
0x368706b2f299635e63b513f93f329fae8f366b48,1,Arbitrum,,
