address,basePool0,basePool1,yfi,backstop,ghouls,rope,stakedRopeAmount,unisock,pooliJudge,pooliLawyer,pooliSupporter,defiShare,defiAmount,nftShare,nftAmount,poolyShare,poolyAmount,totalAmount,share,chain
0x00003183f59e825911d98fb509a157cd2abbae25,,,FALSE,,257,0,0,0,0,0,0,0,0,257,148981.8,0,0,148981.8,257,Arbitrum
0x000149026f7deb08734a6c7e66c026c445acac98,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x000f4432a40560bbff1b581a8b7aded8dab80026,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x0014ea9bbe130c8af7f00c8e61fc07368bdaaf7d,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x003f35595dce3187b4fff2b5a2c4303f7158208a,,,FALSE,,2,0,0,0,0,0,0,0,0,2,1159.391,0,0,1159.391,2,Arbitrum
0x007de65790572b29bdd40bfbe4accc446f939088,,,FALSE,,0,0,0,0,0,1,0,0,0,0,0,10,5525.71,5525.71,10,Optimism
0x00c67d9d6d3d13b42a87424e145826c467cccd84,,,TRUE,,1,3,67,0,0,0,0,2,1357.21,18.5,10724.37,0,0,12081.58,20.5,Arbitrum
0x00f1403069dc9459e897b74cd3eda1b6236445f6,,,FALSE,,3,0,0,0,0,0,0,0,0,3,1739.087,0,0,1739.087,3,Arbitrum
0x00f91504046cb47d24b7ac9ee6ae8f407bdca65f,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x00ff72c361f6181f32e702b0473818f683978998,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x012f3976c93260f7e4ce1289638278a870b6678d,,,TRUE,,0,51,0,0,0,0,0,1,678.6051,12.75,7391.118,0,0,8069.723,13.75,Arbitrum
0x015555fe4bb264525a601e3952546795ef1a40c1,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x015edbdd1dede3e011a694ecf48ca933661e0213,,,FALSE,,0,3,0,0,0,0,0,0,0,0.75,434.7717,0,0,434.7717,0.75,Arbitrum
0x019ed608dd806b80193942f2a960e7ac8abb2ee3,,,FALSE,,0,0,0,2,0,1,0,0,0,2,1159.391,10,5525.71,6685.101,12,Arbitrum
0x01ab07010c2f4bf5971537669cc19d5d8cf320a0,Staked,Staked,FALSE,,0,0,0,0,0,0,0,2,1357.21,0,0,0,0,1357.21,2,Arbitrum
0x0299455b03be0b51d8747aa4f9fee4cfd9008dc2,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x02be99141f66c065e165caf2dbf6a987c8d107a5,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x02e05dbbf4df5d17cb3a0140f9643fe68cc4ae39,,,FALSE,,0,0,0,0,0,0,0,2,1357.21,0,0,0,0,1357.21,2,Optimism
0x036bbf4aa5783adbec43cac69535da6923d0721e,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x037dfd569defbc08ae28001159b4c49f6d006cff,,,FALSE,,2,0,0,0,0,0,0,0,0,2,1159.391,0,0,1159.391,2,Arbitrum
0x038162fbcf25a0ca31047c7940d5a97a2380df42,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x047c4d7af709ae19d3bbbd5f9e10461d2554da00,,,FALSE,,5,0,0,0,0,0,0,0,0,5,2898.478,0,0,2898.478,5,Arbitrum
0x049808d5eaa90a2665b9703d2246dded34f1eb73,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x04a0f10c0dcfa5a4c060e5421f385c2a0e541a94,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x056590f16d5b314a132bbcfb1283fec5d5c6e670,,,TRUE,,2,0,0,0,0,0,0,1,678.6051,2,1159.391,0,0,1837.996,3,Arbitrum
0x059fe4871f4f4fd2bc929d2c4a1e3530c345b47f,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x066b00f790347e3b3f1fb685f56e4db33d1ba21c,,,FALSE,,3,0,0,0,0,0,0,0,0,3,1739.087,0,0,1739.087,3,Arbitrum
0x067214ba2099775d25d82a3b814dc35ce0ceef72,,,FALSE,,1,0,0,0,0,0,1,0,0,1,579.6956,1,552.571,1132.267,2,Arbitrum
0x0707fd320c96b54182475b22a9d47b4045e74668,,,FALSE,,0,0,0,0,0,0,0,1,678.6051,0,0,0,0,678.6051,1,Arbitrum
0x073aba73177668ba1c6661a4ccddbf77dfc8809a,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Optimism
0x07930c93dcd3425b9ebd67765e28a0bbdb0d5893,,,TRUE,,0,0,0,0,0,0,1,1,678.6051,0,0,1,552.571,1231.176,2,Arbitrum
0x084bd02d4dfb5af7f9d487a60682378b057d36bb,,,FALSE,,3,0,0,0,0,0,1,0,0,3,1739.087,1,552.571,2291.658,4,Optimism
0x0941500854d6bf57f2256c01a6b485a4737c4f48,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x09a87eb0a7724387bfbff9728c146c8b184d609d,,,FALSE,,7,0,0,0,0,0,0,0,0,7,4057.869,0,0,4057.869,7,Arbitrum
0x0a251df99a88a20a93876205fb7f5faf2e85a481,,,TRUE,,0,0,0,0,0,0,1,1,678.6051,0,0,1,552.571,1231.176,2,Arbitrum
0x0a47ae31ec6d12af1e7c709bf92115f4e19a649f,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x0a649824e82d8c689b0f254d207056e1a6b3d8c9,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x0ab754916b6f450f9ca0a31d9366ea0a7b44aeba,Staked,Staked,FALSE,,0,5,56,0,0,0,0,2,1357.21,15.25,8840.357,0,0,10197.57,17.25,Arbitrum
0x0ad59c344359fdf8472e7ffbf4eb6af4751138da,Staked,,TRUE,,0,0,0,0,0,0,0,2,1357.21,0,0,0,0,1357.21,2,Arbitrum
0x0c6500f0fe389855ad7efc2faf68b4b25d2bc342,,,FALSE,,6,0,0,0,0,0,0,0,0,6,3478.173,0,0,3478.173,6,Arbitrum
0x0d801699678375e43d14f67453e24f17ebbaef8a,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Optimism
0x0ded5e6b94c67b229e1fb735ef598e5c7f8803d1,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x0e1b5ab67af1c99f8c7ebc71f41f75d4d6211e53,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x0e93982dc0e777261f9a4d7430f7c4f9032c498b,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x0f1025f754b3eb32ab3105127b563084bfa03a6f,,,FALSE,,2,15,63,0,0,0,0,2,1357.21,21.5,12463.45,0,0,13820.66,23.5,Arbitrum
0x0ff104944594bbd7aa2953a5bea1dac1c7f330a0,,,FALSE,,8,0,0,0,0,0,0,0,0,8,4637.564,0,0,4637.564,8,Arbitrum
0x0ffd1dc2e313a3f10ac9e1b0916bb3752f400091,,,FALSE,,4,0,0,0,0,0,0,0,0,4,2318.782,0,0,2318.782,4,Arbitrum
0x10ad752202fd4c7bbe3107fedba7a225bac85578,,,TRUE,,0,0,0,0,0,0,0,2,1357.21,0,0,0,0,1357.21,2,Arbitrum
0x10d7a263a89e661f780e0eff8cbe59ded312e850,,,FALSE,,0,1,12,0,0,0,0,0,0,3.25,1884.011,0,0,1884.011,3.25,Arbitrum
0x11111b82a7060ad4536afb8d93556b688e21da17,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x112be8010ac3ae3aac99490002555297438ac394,,,FALSE,,1,0,0,0,0,0,0,1,678.6051,1,579.6956,0,0,1258.301,2,Arbitrum
0x11414661e194b8b0d7248e789c1d41332904f2ba,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x1146a21769f81c9f2de05eae4dd117241b17d3c5,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
